Date,yield_hat_6M,yield_hat_9M,yield_hat_1Y,yield_hat_2Y,yield_hat_5Y,yield_hat_10Y,yield_hat_20Y,yield_hat_30Y
2016-05-19,0.006221411107943171,0.0068981308884984195,0.007574300723556039,0.00858082061709198,0.01121477719531853,0.014836467092580338,0.018761781378323527,0.018934838149769834
2016-05-20,0.006224213919913095,0.006900931377999274,0.007577100589528586,0.008583192807622932,0.011216478159767833,0.014837620685079662,0.01876270416804254,0.018935733622397588
2016-05-24,0.006236473003884117,0.006913114009105245,0.007589213127784721,0.008593297796141958,0.011223664358394982,0.01484263528708122,0.018766745261183736,0.01893966276227973
2016-05-25,0.006289292089190095,0.006965598059437397,0.00764138945621075,0.008636812409659873,0.011254604747772746,0.014864238501709981,0.01878415704702308,0.018956592821084518
2016-05-26,0.006291987628424768,0.006967036539586328,0.007641552239905206,0.008633971858153285,0.011251441335314763,0.014864760317691966,0.018785138130224147,0.018957690123308474
2016-05-27,0.00624517052648364,0.0069201706877173195,0.00759460784347935,0.00859399088917321,0.011222694616617845,0.014845450020268795,0.018769730676183004,0.018942748915389464
2016-05-30,0.0063512637436860565,0.007027281447149987,0.007702818319581189,0.008688294305627953,0.011291306853095543,0.014889634456082781,0.018804578246059307,0.01897643689786317
2016-05-31,0.006304720246079958,0.006978288309866836,0.007651307129287365,0.008638746599018409,0.011253544970747778,0.014869312377332279,0.018789439886771585,0.01896203473816438
2016-06-01,0.006124484953004644,0.006799255909072773,0.007473385390936227,0.008490502536470131,0.011148193396452587,0.014795623864698078,0.018730021177855938,0.01890425301841308
2016-06-02,0.006036433151897113,0.006715559689558196,0.007394060576304748,0.00843345641039941,0.011111133961391179,0.014761389500326384,0.018700712127876624,0.018875315771607233
2016-06-03,0.005992425067713206,0.006673751792174636,0.007354461152943303,0.00840503914883577,0.011092700250463876,0.01474429033342244,0.018686061878212618,0.018860848689586374
2016-06-06,0.006043245323549312,0.006725612192882154,0.007407409978089657,0.00845247143258089,0.0111276828798982,0.014765713338434811,0.018702712790220177,0.018876881447011107
2016-06-07,0.00609264729812809,0.006773792015109581,0.007454378503922658,0.008489463814165805,0.011153147455683179,0.01478549275382755,0.01871906566078972,0.018892887002870527
2016-06-08,0.00604334137630923,0.006723335857491634,0.0074027229881841305,0.008442869634650001,0.011118668048714746,0.01476464188850228,0.018702921369794852,0.018877358479990964
2016-06-09,0.00604586176013938,0.006726997702921515,0.007407546296575718,0.00844967054915057,0.011124571308598246,0.014766214749976388,0.01870366586182181,0.01887794855303523
2016-06-10,0.006048333872252388,0.006729429896870216,0.007409939458675365,0.00845160838085928,0.011125926815305118,0.01476721447042012,0.018704482586201537,0.018878745485934625
2016-06-13,0.00615038980305449,0.006831342407667863,0.007511769449200057,0.00853774740979217,0.011187639340603534,0.014809190721990825,0.018738087241171594,0.018911362218462468
2016-06-14,0.006146547658373631,0.006825088508355553,0.007503062453499848,0.008524638348380438,0.011176071377382824,0.01480647843996696,0.01873700241326921,0.018910589065188565
2016-06-15,0.006043379177957972,0.006722050154160663,0.007400092422106168,0.008437499581872626,0.011113629235965976,0.014764037646980734,0.01870303253627884,0.018877619566229905
2016-06-16,0.006040735638671646,0.006721849761475534,0.0074023730076190316,0.008445225374753357,0.011121360526181897,0.014764092768676157,0.018701980121112505,0.018876315728639594
2016-06-17,0.006040422731268335,0.006721646020241354,0.007402280002321604,0.008445405055498284,0.011121587145034934,0.014764014986981815,0.018701868978280398,0.018876195268202393
2016-06-20,0.006042332276615712,0.00672356346273712,0.007404206652280142,0.008447059997161827,0.011122782319137969,0.014764805343524328,0.018702496955240667,0.018876803559421937
2016-06-21,0.0061417970423645555,0.006822901171608967,0.007503476862659952,0.008531064089205393,0.011182976761982964,0.014805721746220791,0.01873524743151467,0.018908589755266
2016-06-22,0.006142108498623882,0.006820858997162675,0.007499043227777727,0.008521721848387644,0.01117416504701899,0.01480474783159403,0.01873552552209942,0.018909132048694564
2016-06-23,0.006144469076683233,0.006823165537417164,0.007501296319562856,0.008523507211096645,0.011175398468553074,0.014805695005966804,0.018736306592056263,0.018909896026822262
2016-06-24,0.005945020471242195,0.006623824450218344,0.007301940951945357,0.008354457399125529,0.011054130748591216,0.014723580248054572,0.018670645944127873,0.018846185649578004
2016-06-27,0.005852810760332101,0.006536406557901869,0.007219335188869833,0.008295654320606468,0.011016200198210426,0.014687838329712287,0.018639936147364717,0.018815838944139678
2016-06-28,0.005902884730898602,0.006588709986748371,0.007273935100710765,0.008347308498993825,0.011055277307443954,0.01470951045830935,0.01865625251415919,0.018831409479488345
2016-06-29,0.005901567467276206,0.006586252636299034,0.007270318429526643,0.008341535577309787,0.011050113291701285,0.01470843388301776,0.018655903952914464,0.01883120334270047
2016-06-30,0.005854526537191643,0.006539259728169112,0.007223345189689177,0.008301754922884163,0.011021597052387588,0.014689077809875332,0.01864041608586238,0.01881617284333056
2016-07-04,0.005852809363252223,0.006539314408222517,0.007225185370882942,0.008307012965618109,0.011026492826697851,0.014688498667321286,0.01863931207921316,0.018814942277208167
2016-07-05,0.005852373925964956,0.006539189038016041,0.007225369844335362,0.008307835401646896,0.011026914765072057,0.014687632579988487,0.018638792531628028,0.018814570806059923
2016-07-06,0.00562879382105462,0.006302737984214693,0.00697595298563044,0.008080593231371431,0.01084542062911183,0.014570608041615226,0.018562214199236853,0.0187492082278074
2016-07-07,0.005627544954573814,0.006303619066648494,0.0069790461069667775,0.008091537129558348,0.010852942305169921,0.014565539682645762,0.018560200786267286,0.018748941148484112
2016-07-08,0.005639029684312003,0.0063162139257414325,0.006992753399416856,0.008104834513753524,0.010863112118528091,0.014570449443623956,0.01856352185080149,0.018751898224247894
2016-07-11,0.005651175741089354,0.0063323986243450595,0.007012965332873474,0.008127090463502996,0.010883542965861186,0.014580662274401513,0.018567463610222174,0.01875355199622775
2016-07-12,0.005643650507070076,0.006317296292990484,0.006990305569265748,0.008097979727213949,0.010853695447417329,0.014566765534133955,0.01856460101055766,0.01875500334361449
2016-07-13,0.005648655405959154,0.006324838124773549,0.007000376526175528,0.008109401542121905,0.010865649419629446,0.014574066035582076,0.0185669274358853,0.018755392278158502
2016-07-14,0.005575797446747655,0.006259763077830379,0.006943012610420612,0.008070969811673507,0.010846635237911531,0.01455389925939813,0.01854287764612488,0.01872802666245724
2016-07-15,0.005619757464264616,0.006315008467723888,0.007009571160006427,0.008144387881595369,0.010911706994698699,0.014585401357435092,0.018557372360609985,0.018736858367712297
2016-07-18,0.005700319588460991,0.006403355399072762,0.007105713389631032,0.008235389531058143,0.010986443677084574,0.014630388208610358,0.01858437843282543,0.018758385242977654
2016-07-19,0.005673014289773073,0.006370142339390222,0.007066565148559028,0.008193133366959739,0.010948778366202117,0.014610542838190351,0.018574696015270665,0.018752043607765483
2016-07-20,0.005831314844331712,0.006535159496414348,0.007238380930595858,0.008347769970852079,0.011068520234707356,0.014686866086150292,0.018627758330880546,0.01879942371415903
2016-07-21,0.0061188716027578485,0.006840261089250044,0.007561075182831764,0.008639998125239079,0.011301665206218912,0.01483716091933181,0.01872492290520457,0.018881372028274546
2016-07-22,0.0060048817844656184,0.006713289086056336,0.007420980570096967,0.008498067455319808,0.011185840151797726,0.014776693521535619,0.01868727761441655,0.018849685678329575
2016-07-25,0.005970226308475333,0.006678215200895947,0.007385513329664344,0.008469834872095334,0.011164549029964301,0.014759880880757827,0.01867566040973277,0.018839604603313517
